                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.84406,                0.55801,                0.93662,                0.96068,                0.99281,                0.97975,                0.75843,                0.89512,                0.47166,                 1.0237,                0.00505,                0.00505,                0.00505
                     53,                0.87111,                 0.5634,                 0.9759,                0.96052,                0.98602,                0.97811,                0.79412,                0.81037,                0.46577,                0.96163,               0.004951,               0.004951,               0.004951
                     54,                0.88436,                0.55008,                0.96364,                  0.969,                0.99117,                0.97788,                0.75514,                0.87358,                0.47487,                  1.003,               0.004852,               0.004852,               0.004852
                     55,                0.89796,                0.55698,                0.97961,                 0.9681,                0.99252,                0.97769,                0.80331,                0.79382,                0.46322,                0.95691,               0.004753,               0.004753,               0.004753
                     56,                0.85207,                0.53384,                0.94667,                0.96942,                0.98847,                0.97869,                 0.7994,                0.78747,                0.46338,                0.96495,               0.004654,               0.004654,               0.004654
                     57,                0.85989,                0.53989,                0.96258,                0.96869,                0.99215,                0.97732,                0.78421,                0.79538,                 0.4428,                0.96421,               0.004555,               0.004555,               0.004555
                     58,                0.87956,                0.54325,                0.96566,                0.97107,                0.99258,                0.98039,                0.79879,                0.80004,                0.45475,                0.95828,               0.004456,               0.004456,               0.004456
                     59,                0.84089,                0.51601,                0.95235,                  0.971,                0.99346,                 0.9835,                0.78714,                0.80846,                0.44814,                0.96187,               0.004357,               0.004357,               0.004357
                     60,                 0.8422,                0.53024,                0.93222,                0.96883,                0.99194,                0.98492,                0.80458,                0.78268,                0.42587,                0.96153,               0.004258,               0.004258,               0.004258
                     61,                0.84155,                0.52052,                 0.9597,                0.96998,                0.99299,                0.98666,                0.81288,                0.76345,                0.42441,                0.95022,               0.004159,               0.004159,               0.004159
                     62,                0.83997,                0.51838,                 0.9505,                0.96992,                0.99346,                 0.9825,                0.80756,                0.77302,                  0.435,                0.95574,                0.00406,                0.00406,                0.00406
                     63,                 0.8142,                0.49702,                0.94042,                0.97372,                0.99492,                0.98219,                0.80416,                0.76638,                0.41008,                0.94413,               0.003961,               0.003961,               0.003961
                     64,                0.86816,                0.52043,                0.94442,                0.96926,                0.99039,                0.98472,                 0.7868,                0.82528,                0.45123,                0.96564,               0.003862,               0.003862,               0.003862
                     65,                0.85361,                0.51504,                0.95919,                0.97373,                0.99323,                0.98451,                0.80315,                0.77289,                0.41385,                0.94603,               0.003763,               0.003763,               0.003763
                     66,                0.83239,                0.49712,                0.94359,                0.96036,                0.98698,                0.97666,                 0.7853,                0.80965,                0.45112,                0.96273,               0.003664,               0.003664,               0.003664
